Gene,Cervix_Intensity,Cervix_Structure,Cervix_Quantity,Endometrium_Prol_Intensity,Endometrium_Prol_Structure,Endometrium_Prol_Quantity,Endometrium_Secr_Intensity,Endometrium_Secr_Structure,Endometrium_Secr_Quantity,Caudate_Intensity,Caudate_Structure,Caudate_Quantity,Choroid_Plexus_Intensity,Choroid_Plexus_Structure,Choroid_Plexus_Quantity,Epididymis_Intensity,Epididymis_Structure,Epididymis_Quantity,FT_Intensity,FT_Structure,FT_Quantity,FT_Ext_Intensity,FT_Ext_Structure,FT_Ext_Quantity,Nasopharynx_Intensity,Nasopharynx_Structure,Nasopharynx_Quantity,Bronchus_Intensity,Bronchus_Structure,Bronchus_Quantity,Intensity,Structure,Quantity
DYDC2,1,"Cell body, Cilia",>75%,1,Cilia,<25%,0,Negative,0%,1,"Cell body, Cilia",>75%,0,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
EFCAB1,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,0,Negative,0%,1,Cilia,>75%,1,Cell body,<25%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",>75%,,,
ENKUR,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cell body,>75%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
ENO4,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Cilia,75-25%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
FAM166B,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
FAM92B,1,Rootlets,>75%,0,Cell body,<25%,0,Negative,0%,0,Negative,0%,0,Cell body,<25%,0,Negative,0%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,>75%,1,Rootlets,>75%,,,
FBXO21,1,Rootlets,<25%,0,Cell body,>75%,0,Negative,0%,1,Cell body,<25%,0,Cell body,>75%,1,Rootlets,75-25%,0,"Cilia, Rootlets",>75%,0,"Cilia tip, Rootlets",>75%,0,Rootlets,>75%,0,Negative,0%,,,
FOXJ1,1,Cell body,>75%,1,Cell body,<25%,1,Cell body,<25%,1,Cell body,75-25%,0,Cell body,75-25%,1,Cell body,75-25%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,1,Cell body,>75%,,,
GAS2L2,1,Rootlets,>75%,1,Rootlets,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Rootlets,75-25%,1,"Cilia, Rootlets",>75%,1,"Cilia tip, Rootlets",>75%,1,Rootlets,>75%,1,Rootlets,>75%,,,
KIAA2012,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,75-25%,1,Cilia tip,75-25%,1,Cilia,>75%,1,Cilia,>75%,,,
KIF19,1,Cilia,>75%,1,Cilia,<25%,0,Negative,0%,1,Cilia,75-25%,0,Cell body,>75%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
LRRC18,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,0,Cilia,>75%,0,Negative,0%,0,Rootlets,75-25%,1,Cilia,75-25%,1,"Cilia axoneme, Cilia tip",75-25%,0,Cilia,>75%,1,Cilia,>75%,,,
LRRC23,1,"Cell body, Cilia",>75%,1,"Cell body, Cilia",<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,"Cell body, Cilia",>75%,1,Cilia,>75%,,,
MDH1B,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,1,Cilia,>75%,0,Negative,0%,1,Cilia,75-25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
MS4A8,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,1,Cilia,<25%,1,Cilia,>75%,1,"Cilia axonemem, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
MSLN,1,Cilia,75-25%,0,Negative,0%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,Rootlets,75-25%,1,Rootlets,75-25%,0,Negative,0%,0,Negative,0%,,,
MUC16,1,Rootlets,>75%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cell body,<25%,1,"Cilia, Rootlets",75-25%,1,"Cilia axoneme, Cilia tip, Rootlets",75-25%,1,Cell body,75-25%,0,Cell body,>75%,,,
NME5,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Cilia,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,0,Cilia,>75%,1,Cilia,>75%,,,
NME9,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,75-25%,0,Negative,0%,1,Rootlets,>75%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
ODF3B,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,<25%,1,Cilia,>75%,0,Negative,0%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia tip,>75%,1,Cilia,>75%,1,Cilia,>75%,,,
OVGP1,0,Negative,0%,1,Cilia,<25%,0,Negative,0%,0,Negative,0%,0,Negative,0%,0,Negative,0%,1,"Cell body, Cilia",75-25%,1,"Cilia axoneme, Cilia tip, Cell body",75-25%,0,Negative,0%,0,Negative,0%,,,
PACRG,1,Cilia,>75%,1,Cilia,<25%,1,Cilia,>75%,1,Cilia,>75%,0,Negative,0%,0,Negative,0%,1,Cilia,>75%,1,"Cilia axoneme, Cilia tip",>75%,1,Cilia,>75%,1,Cilia,>75%,,,
PIH1D3,1,Cell body,>75%,1,Cell body,<25%,1,Cell body,<25%,1,"Cell body, Rootlets",75-25%,0,Negative,0%,1,Cell body,<25%,1,"Cell body, Rootlets",>75%,1,"Cell body, Rootlets",>75%,1,Cell body,75-25%,1,Cell body,>75%,,,
PPP1R36,0,Rootlets,>75%,0,Negative,0%,1,Rootlets,<25%,0,Cilia,>75%,0,Negative,0%,1,Cilia,>75%,1,Rootlets,75-25%,1,Rootlets,75-25%,1,Rootlets,>75%,1,Rootlets,<25%,,,
